Inst_Name,Course_name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,City
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER SCIENCE & ENGINEERING,GEN,GUJCET_Rank,Self-Finance,4439,24124,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER SCIENCE & ENGINEERING,EWS,GUJCET_Rank,Self-Finance,24730,28191,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER SCIENCE & ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,28391,37994,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER SCIENCE & ENGINEERING,SC,GUJCET_Rank,Self-Finance,29083,32232,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER SCIENCE & ENGINEERING,ST,GUJCET_Rank,Self-Finance,29850,36164,AHMEDABAD
ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD,COMPUTER SCIENCE & ENGINEERING - TFWS,TFWS,GUJCET_Rank,Self-Finance,5598,10002,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",CIVIL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,15912,33811,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",CIVIL ENGINEERING,EWS,GUJCET_Rank,Self-Finance,35534,38253,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",CIVIL ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,38057,38057,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,GEN,GUJCET_Rank,Self-Finance,1673,9495,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,EWS,GUJCET_Rank,Self-Finance,9515,10808,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,9752,20124,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,SC,GUJCET_Rank,Self-Finance,11811,24675,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,ESM,GUJCET_Rank,Self-Finance,16186,16186,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRICAL ENGINEERING,GEN,GUJCET_Rank,Self-Finance,13698,25439,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRICAL ENGINEERING,EWS,GUJCET_Rank,Self-Finance,25681,27133,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRICAL ENGINEERING,SEBC,GUJCET_Rank,Self-Finance,26697,38767,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,GEN,GUJCET_Rank,Self-Finance,6205,14497,AHMEDABAD
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,EWS,GUJCET_Rank,Self-Finance,14817,16758,AHMEDABAD
